date,category,flag,scope,message,driver_number,lap_number
2023-02-23,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-23,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-23,Flag,RED,Track,RED FLAG,,
2023-02-23,Flag,RED,Track,RED FLAG,,
2023-02-23,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-23,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-23,Drs,,,DRS ENABLED,,
2023-02-23,Drs,,,DRS ENABLED,,
2023-02-23,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-23,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-23,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 11,,
2023-02-23,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 11,,
2023-02-23,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 10,,
2023-02-23,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 10,,
2023-02-23,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,,
2023-02-23,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,
2023-02-23,SafetyCar,,,VIRTUAL SAFETY CAR ENDING,,
2023-02-23,SafetyCar,,,VIRTUAL SAFETY CAR ENDING,,
2023-02-23,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-23,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-23,Drs,,,DRS ENABLED,,
2023-02-23,Drs,,,DRS ENABLED,,
2023-02-23,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-02-23,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-02-23,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 16,,
2023-02-23,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 16,,
2023-02-23,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 15,,
2023-02-23,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 15,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 15,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 15,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,,
2023-02-23,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,,
2023-02-23,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,,
2023-02-23,SafetyCar,,,VIRTUAL SAFETY CAR ENDING,,
2023-02-23,SafetyCar,,,VIRTUAL SAFETY CAR ENDING,,
2023-02-23,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-23,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-23,Drs,,,DRS ENABLED,,
2023-02-23,Drs,,,DRS ENABLED,,
2023-02-23,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 7,,
2023-02-23,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 7,,
2023-02-23,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,
2023-02-23,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,
2023-02-23,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 17,,
2023-02-23,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 17,,
2023-02-23,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 16,,
2023-02-23,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 16,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 17,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 17,,
2023-02-23,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 43 TIMED AT 14:32:51,43.0,
2023-02-23,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 43 TIMED AT 14:32:51,43.0,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,,
2023-02-23,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,,
2023-02-23,SafetyCar,,,SAFETY CAR DEPLOYED,,
2023-02-23,SafetyCar,,,SAFETY CAR DEPLOYED,,
2023-02-23,SafetyCar,,,SAFETY CAR IN THIS LAP,,
2023-02-23,SafetyCar,,,SAFETY CAR IN THIS LAP,,
