date,category,flag,scope,message,driver_number,lap_number
2023-02-23T07:00:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-23T07:00:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-23T07:08:43+00:00,Flag,RED,Track,RED FLAG,,
2023-02-23T07:08:43+00:00,Flag,RED,Track,RED FLAG,,
2023-02-23T07:25:35+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-23T07:25:35+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-23T07:25:39+00:00,Drs,,,DRS ENABLED,,
2023-02-23T07:25:39+00:00,Drs,,,DRS ENABLED,,
2023-02-23T07:30:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-23T07:30:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-23T11:00:38+00:00,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 11,,
2023-02-23T11:00:38+00:00,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 11,,
2023-02-23T11:00:47+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 10,,
2023-02-23T11:00:47+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 10,,
2023-02-23T11:01:21+00:00,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,,
2023-02-23T11:01:21+00:00,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,,
2023-02-23T11:05:02+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,
2023-02-23T11:05:02+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,
2023-02-23T11:05:04+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,
2023-02-23T11:05:04+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,
2023-02-23T11:05:14+00:00,SafetyCar,,,VIRTUAL SAFETY CAR ENDING,,
2023-02-23T11:05:14+00:00,SafetyCar,,,VIRTUAL SAFETY CAR ENDING,,
2023-02-23T11:05:29+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-23T11:05:29+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-23T11:05:31+00:00,Drs,,,DRS ENABLED,,
2023-02-23T11:05:31+00:00,Drs,,,DRS ENABLED,,
2023-02-23T11:15:00+00:00,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-02-23T11:15:00+00:00,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-02-23T11:24:49+00:00,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 16,,
2023-02-23T11:24:49+00:00,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 16,,
2023-02-23T11:24:51+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 15,,
2023-02-23T11:24:51+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 15,,
2023-02-23T11:25:36+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,
2023-02-23T11:25:36+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,
2023-02-23T11:25:38+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 15,,
2023-02-23T11:25:38+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 15,,
2023-02-23T11:27:18+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,,
2023-02-23T11:27:18+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,,
2023-02-23T11:27:20+00:00,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,,
2023-02-23T11:27:20+00:00,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,,
2023-02-23T11:27:57+00:00,SafetyCar,,,VIRTUAL SAFETY CAR ENDING,,
2023-02-23T11:27:57+00:00,SafetyCar,,,VIRTUAL SAFETY CAR ENDING,,
2023-02-23T11:28:08+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-23T11:28:08+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-23T11:28:41+00:00,Drs,,,DRS ENABLED,,
2023-02-23T11:28:41+00:00,Drs,,,DRS ENABLED,,
2023-02-23T11:30:12+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 7,,
2023-02-23T11:30:12+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 7,,
2023-02-23T11:30:15+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,
2023-02-23T11:30:15+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,
2023-02-23T11:30:24+00:00,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 17,,
2023-02-23T11:30:24+00:00,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 17,,
2023-02-23T11:30:27+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 16,,
2023-02-23T11:30:27+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 16,,
2023-02-23T11:31:26+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,
2023-02-23T11:31:26+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,
2023-02-23T11:31:28+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 17,,
2023-02-23T11:31:28+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 17,,
2023-02-23T11:32:52+00:00,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 43 TIMED AT 14:32:51,43.0,
2023-02-23T11:32:52+00:00,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 43 TIMED AT 14:32:51,43.0,
2023-02-23T11:34:33+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,
2023-02-23T11:34:33+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,
2023-02-23T11:34:35+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,,
2023-02-23T11:34:35+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,,
2023-02-23T11:35:10+00:00,SafetyCar,,,SAFETY CAR DEPLOYED,,
2023-02-23T11:35:10+00:00,SafetyCar,,,SAFETY CAR DEPLOYED,,
2023-02-23T11:35:50+00:00,SafetyCar,,,SAFETY CAR IN THIS LAP,,
2023-02-23T11:35:50+00:00,SafetyCar,,,SAFETY CAR IN THIS LAP,,
2023-02-23T11:36:53+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-23T11:36:53+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-23T11:40:53+00:00,Drs,,,DRS ENABLED,,
2023-02-23T11:40:53+00:00,Drs,,,DRS ENABLED,,
2023-02-23T11:42:46+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 12,,
2023-02-23T11:42:46+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 12,,
2023-02-23T11:42:51+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 3,,
2023-02-23T11:42:51+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 3,,
2023-02-23T11:42:57+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,
2023-02-23T11:42:57+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 6,,
2023-02-23T11:46:38+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 3,,
2023-02-23T11:46:38+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 3,,
2023-02-23T11:46:40+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,
2023-02-23T11:46:40+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,
2023-02-23T11:47:23+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 12,,
2023-02-23T11:47:23+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 12,,
2023-02-23T11:48:20+00:00,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 42 TIMED AT 14:48:20,42.0,
2023-02-23T11:48:20+00:00,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 42 TIMED AT 14:48:20,42.0,
2023-02-23T12:15:06+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-23T16:15:05+00:00,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 11,,
2023-02-23T16:15:08+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 10,,
2023-02-23T16:16:16+00:00,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,,
2023-02-23T16:20:54+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,
2023-02-23T16:20:57+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,
2023-02-23T16:21:13+00:00,SafetyCar,,,VIRTUAL SAFETY CAR ENDING,,
2023-02-23T16:21:28+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-23T16:21:30+00:00,Drs,,,DRS ENABLED,,
2023-02-23T16:30:22+00:00,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-02-24T06:57:05+00:00,Drs,,,DRS ENABLED,,
2023-02-24T07:00:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-24T11:00:03+00:00,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 6,,
2023-02-24T11:00:06+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 5,,
2023-02-24T11:00:28+00:00,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,,
2023-02-24T11:03:10+00:00,Flag,RED,Track,RED FLAG,,
2023-02-24T11:05:16+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-24T11:07:13+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-24T11:13:32+00:00,Flag,RED,Track,RED FLAG,,
2023-02-24T11:17:19+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-24T12:14:08+00:00,Drs,,,DRS ENABLED,,
2023-02-24T12:14:08+00:00,Drs,,,DRS ENABLED,,
2023-02-24T12:15:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-24T12:15:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-24T14:53:25+00:00,Flag,RED,Track,RED FLAG,,
2023-02-24T14:53:25+00:00,Flag,RED,Track,RED FLAG,,
2023-02-24T15:12:55+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-24T15:12:55+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-24T15:14:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-24T15:14:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-24T15:16:11+00:00,Drs,,,DRS ENABLED,,
2023-02-24T15:16:11+00:00,Drs,,,DRS ENABLED,,
2023-02-24T16:15:12+00:00,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 12,,
2023-02-24T16:15:12+00:00,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 12,,
2023-02-24T16:15:14+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 11,,
2023-02-24T16:15:14+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 11,,
2023-02-24T16:15:41+00:00,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,,
2023-02-24T16:15:41+00:00,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,,
2023-02-24T16:18:21+00:00,Flag,RED,Track,RED FLAG,,
2023-02-24T16:18:21+00:00,Flag,RED,Track,RED FLAG,,
2023-02-24T16:19:53+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-24T16:19:53+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-24T16:21:06+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-24T16:21:06+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-24T16:27:51+00:00,Flag,RED,Track,RED FLAG,,
2023-02-24T16:27:51+00:00,Flag,RED,Track,RED FLAG,,
2023-02-24T16:29:59+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-24T16:29:59+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-25T06:57:50+00:00,Drs,,,DRS ENABLED,,
2023-02-25T07:00:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-25T07:07:11+00:00,Flag,RED,Track,RED FLAG,,
2023-02-25T07:09:09+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-25T07:10:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-25T07:18:58+00:00,Drs,,,DRS ENABLED,,
2023-02-25T08:43:53+00:00,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 11:43:52,11.0,
2023-02-25T08:51:23+00:00,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 11:51:22,77.0,
2023-02-25T09:55:24+00:00,Flag,RED,Track,RED FLAG,,
2023-02-25T10:07:24+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-25T10:07:34+00:00,Drs,,,DRS ENABLED,,
2023-02-25T10:08:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-25T11:00:02+00:00,Drs,,,DRS DISABLED,,
2023-02-25T11:01:02+00:00,Drs,,,DRS ENABLED,,
2023-02-25T11:01:04+00:00,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,,
2023-02-25T11:03:27+00:00,SafetyCar,,,SAFETY CAR DEPLOYED,,
2023-02-25T11:04:13+00:00,Flag,RED,Track,RED FLAG,,
2023-02-25T11:06:19+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-25T11:08:06+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-25T11:10:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-25T11:14:02+00:00,Flag,RED,Track,RED FLAG,,
2023-02-25T11:15:59+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-25T12:15:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-25T16:15:25+00:00,SafetyCar,,,VIRTUAL SAFETY CAR DEPLOYED,,
2023-02-25T16:17:34+00:00,SafetyCar,,,SAFETY CAR DEPLOYED,,
2023-02-25T16:18:08+00:00,Flag,RED,Track,RED FLAG,,
2023-02-25T16:20:14+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-02-25T16:22:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-02-25T16:27:12+00:00,Flag,RED,Track,RED FLAG,,
2023-02-25T16:29:30+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-03-03T11:30:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-03-03T11:59:07+00:00,CarEvent,,,CAR 14 (ALO) OFF TRACK AND CONTINUED AT TURN 4,14.0,
2023-03-03T12:06:51+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 2,,
2023-03-03T12:06:54+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,
2023-03-03T12:07:11+00:00,CarEvent,,,CAR 4 (NOR) OFF TRACK AND CONTINUED AT TURN 1,4.0,
2023-03-03T12:09:21+00:00,CarEvent,,,CAR 55 (SAI) SPUN AND CONTINUED AT TURN 9,55.0,
2023-03-03T12:27:27+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 2,,
2023-03-03T12:27:29+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,
2023-03-03T12:30:00+00:00,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-03-03T15:00:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-03-03T15:11:12+00:00,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 2,,
2023-03-03T15:11:21+00:00,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 2,,
2023-03-03T15:11:30+00:00,CarEvent,,,CAR 81 (PIA) OFF TRACK AND CONTINUED AT TURN 1,81.0,
2023-03-03T15:39:59+00:00,CarEvent,,,CAR 2 (SAR) OFF TRACK AND CONTINUED AT TURN 10,2.0,
2023-03-03T15:44:46+00:00,CarEvent,,,CAR 14 (ALO) OFF TRACK AND CONTINUED AT TURN 10,14.0,
2023-03-03T16:00:00+00:00,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-03-04T11:30:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-03-04T12:30:00+00:00,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-03-04T15:00:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-03-04T15:04:38+00:00,Flag,RED,Track,RED FLAG,,
2023-03-04T15:08:36+00:00,Flag,CLEAR,Track,TRACK CLEAR,,
2023-03-04T15:08:44+00:00,Drs,,,DRS ENABLED,,
2023-03-04T15:12:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
2023-03-04T15:25:23+00:00,Flag,CHEQUERED,Track,CHEQUERED FLAG,,
2023-03-04T15:33:00+00:00,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,
