date,category,flag,scope,message,driver_number,lap_number
2024-10-27,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 11,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 16,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 6,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 7,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 9,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 15,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 10,,1.0
2024-10-27,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 5,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 14,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 13,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 12,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 8,,1.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 16,,1.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 9,,1.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 11,,1.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,,1.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 13,,1.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 10,,1.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 13,,1.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,,1.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 13,,1.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 15,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 15,,1.0
2024-10-27,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 15,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 15,,1.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 8,,1.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 16,,1.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 12,,1.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 15,,1.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 14,,1.0
2024-10-27,Flag,GREEN,Track,GREEN LIGHT - PIT EXIT OPEN,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 3,,1.0
2024-10-27,Flag,YELLOW,Sector,YELLOW IN TRACK SECTOR 4,,1.0
2024-10-27,Flag,DOUBLE YELLOW,Sector,DOUBLE YELLOW IN TRACK SECTOR 4,,2.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 3,,6.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 4,,6.0
2024-10-27,Flag,CLEAR,Track,TRACK CLEAR,,6.0
2024-10-27,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 7,,10.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:13:52,43.0,49.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:14:56,31.0,49.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 15:18:00,30.0,52.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:19:24,18.0,53.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 15:23:32,30.0,56.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:23:38,43.0,56.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:24:01,43.0,56.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 15:25:45,30.0,58.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:26:10,18.0,58.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:27:05,18.0,59.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:27:34,10.0,59.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:27:47,10.0,59.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:27:48,24.0,59.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:27:54,24.0,59.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:34:56,10.0,64.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:38:13,10.0,67.0
2024-10-27,Flag,BLUE,Driver,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:38:38,11.0,67.0
